"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"hera_37"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"ophelia_43"	"iris_44"	"jarjarbinks_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"hamlet_46"	"iris_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"wolverine_58"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"o__Selenomonadales"	1470	1575	1020	1748	699	1818	823	593	422	1327	1051	1514	924	1514	2062	783	705	769	622	1334	1675	777	1263	78	261	412	393	1569	456	598	1004	491	649	903	336	560	1712	617	1057	815	944	693	656	1073	1067	2442	421	1050	1142	904	532	1406	932	590	1707	219	1497	2027	1380	1010	1099	43	418	410	378	495	1239	644	738	501	473	965	439	689	751	342	1184	948	373	857	222	1073	405	699	626	95	1570	479	364	893	638	1017	724	627	1007	1812	817	404	207	1044	177	1528	70	1747	661	1367	1330	623	1196
"o__Bacteroidales"	755	522	603	347	649	561	1912	1159	318	611	617	337	927	449	771	738	960	1301	738	743	460	1056	1180	2544	1826	775	893	601	675	699	577	767	633	604	257	761	735	524	485	797	1042	430	1210	573	1213	470	627	475	179	458	168	760	1306	1314	559	464	445	1174	780	552	1194	2007	2126	1832	272	1739	669	1560	1424	1219	1100	956	581	872	1257	1656	788	608	677	982	1710	743	550	1161	849	280	243	572	1044	394	721	586	625	1890	303	229	1037	1116	1182	1363	1986	497	3089	131	729	504	1114	1502	671
"o__Acidaminococcales"	809	606	283	290	691	605	455	835	463	582	574	497	877	308	298	1326	1015	752	752	767	621	1230	495	278	63	1054	1357	521	726	611	1036	650	710	1021	180	1043	465	519	836	1121	568	571	964	449	610	345	533	653	390	737	596	567	1302	809	704	376	829	1593	688	745	463	81	529	559	189	317	571	628	654	987	1032	667	663	506	1033	924	327	609	693	1045	956	719	760	1209	1157	221	380	1119	581	1309	1113	790	692	435	230	382	654	954	513	1912	713	448	156	549	606	695	1548	381	921
"o__Lachnospirales"	402	427	345	603	438	365	244	837	181	837	1163	566	543	662	313	472	478	346	377	356	451	329	336	109	98	342	703	435	766	358	392	312	429	454	212	283	243	392	245	371	399	383	471	614	683	295	127	503	152	848	218	452	1087	558	322	217	489	1655	441	713	479	48	222	382	390	368	565	348	404	632	694	497	461	430	329	368	293	427	1124	320	418	413	440	285	441	96	151	595	398	541	555	606	469	434	335	324	622	629	274	1053	518	207	114	389	514	437	1646	584	717
"o__Veillonellales"	335	425	71	154	70	165	206	109	83	319	159	238	586	435	445	483	644	545	378	423	593	339	452	69	85	143	443	625	254	129	405	1292	609	398	105	9	713	271	328	467	897	504	480	560	156	279	172	433	259	803	276	454	1220	280	256	67	345	398	219	162	436	63	212	279	55	481	162	416	429	429	385	680	427	730	294	162	348	1221	673	455	159	397	1447	453	601	29	398	1026	250	362	555	736	93	210	244	286	307	600	274	391	333	542	42	972	595	738	1791	441	215
"o__Enterobacterales"	7	0	16	343	438	149	0	56	2133	0	92	443	1	213	0	7	4	0	74	17	0	4	0	1	5	1071	27	0	895	1406	363	99	853	231	2807	0	0	1528	179	49	0	1289	3	633	15	2	5	280	1828	16	114	116	1173	3	67	2547	13	341	155	499	1	25	9	30	2581	386	491	48	118	7	85	0	1065	594	0	183	809	1	163	0	236	270	85	70	19	3184	1049	26	1203	49	44	0	1107	92	1699	804	248	0	1344	15	6	254	15	1	211	0	0	50	0
"o__Aeromonadales"	41	76	20	30	66	38	23	32	139	23	33	63	37	144	24	45	30	24	932	94	25	35	26	19	10	102	62	23	65	26	63	310	10	222	8	1192	16	43	742	30	5	15	29	14	37	14	2022	504	11	106	1922	62	659	24	45	14	32	258	78	50	25	859	16	20	15	5	53	26	29	16	24	36	182	3	85	37	13	11	144	48	44	44	147	15	44	6	16	54	20	24	53	20	44	38	55	25	22	30	21	1670	26	35	15	13	272	43	65	4	55
"o__Burkholderiales"	62	67	30	25	41	84	63	45	30	18	30	30	31	67	25	43	78	40	71	73	37	96	34	750	463	24	40	61	133	51	34	51	47	21	19	137	22	73	39	49	27	81	47	42	44	42	36	65	29	87	16	97	197	69	53	16	36	188	87	78	92	605	166	61	20	142	90	182	82	48	48	67	117	82	61	56	94	76	92	117	76	171	128	87	100	8	114	67	78	39	36	78	50	91	36	27	43	121	60	66	91	202	344	15	115	122	174	205	43
"o__Eubacteriales"	57	95	90	101	105	53	62	270	41	180	198	113	59	185	51	79	63	110	40	121	115	84	62	32	24	63	72	58	19	96	75	27	24	114	22	7	25	24	77	82	94	22	36	22	103	88	46	26	8	35	53	59	54	270	75	50	95	243	95	143	55	5	70	95	76	25	105	82	42	136	144	76	53	40	69	169	76	64	48	129	154	90	24	16	82	52	33	45	50	94	123	106	105	96	49	65	101	110	67	204	125	53	38	87	32	60	178	143	149
"o__Fusobacteriales"	26	103	1500	332	790	149	191	13	183	56	27	185	11	1	0	5	0	23	3	2	3	0	121	14	53	5	0	96	0	0	10	0	0	3	3	1	51	0	2	202	15	0	8	0	0	1	7	0	0	0	13	5	0	27	180	12	90	98	52	27	114	0	37	62	5	0	21	4	71	7	2	47	7	0	112	27	21	16	1	17	4	37	0	0	14	1	28	0	2	37	57	48	25	7	30	18	80	19	1	192	10	79	18	3	54	25	140	2	15
"o__Coriobacteriales"	12	62	17	23	7	12	10	45	3	30	37	11	2	20	11	8	18	81	3	47	13	40	27	19	434	6	10	6	7	5	39	0	30	22	47	5	11	6	6	1	8	7	89	13	46	19	3	11	2	6	79	19	56	55	21	10	125	19	18	5	25	18	193	266	9	37	14	58	6	16	11	4	5	47	6	62	45	13	7	19	18	39	8	3	44	8	16	14	8	250	94	4	59	65	11	22	69	15	38	13	10	112	40	89	69	4	3	64	13
"o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	80	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0
"o__Pseudomonadales"	24	35	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	1	8	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	133	0	0	0	0
"o__Anaeroplasmatales"	0	3	0	0	3	0	8	0	2	3	14	2	0	0	0	0	0	1	0	3	0	0	1	0	28	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	3	6	1	0	0	11	12	2	0	0	3	0	12	0	2	0	0	0	0	0	0	7	0	2	0	5	0	1	0	0	0	10	0	0	0	0	9	4	1	12	0	0	0	2	6	12	4	0	5	0	0	0	0	0	0
"o__Lactobacillales"	0	3	4	0	1	0	0	3	2	2	3	1	0	1	0	0	0	0	0	1	2	7	0	0	0	1	0	0	0	4	0	0	3	2	0	1	0	0	2	5	0	1	4	3	0	1	0	0	0	0	6	1	0	0	2	0	3	2	2	0	0	0	0	1	1	2	3	1	0	0	1	0	0	4	0	1	1	0	0	4	0	0	5	0	16	5	1	1	1	7	0	0	1	1	1	4	0	0	0	23	0	24	0	1	1	2	1	1	1
"o__Pasteurellales"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	17	0	3	0	0	0	1	0	0	1
"o__Bacillales"	0	1	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	2	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	1	3	0	1	0	0	0	0	0	0	1
"o__Mycobacteriales"	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0
"o__Neisseriales"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0
"o__Eggerthellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"o__Peptostreptococcales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
