"ID"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"f__Acidaminococcaceae"	64	780	520	2	138	947	637	728	917	1474	639	486	609	416	1148	491	715	608	1217	458	756	1732	804	377	745	477	463	81	1214	529	559	189	317	571	913	628	654	575	987	1032	667	663	506	1033	678	924	327	609	693	1045	956	719	760	1209	1157	816	221	380	498	642	1119	581	1309	1113	790	415	692
"f__Selenomonadaceae"	74	601	508	1	966	1099	440	797	618	561	794	1638	745	61	411	1173	881	734	764	580	759	1263	113	751	1010	818	1099	43	839	418	410	378	495	1239	198	644	738	1177	501	473	965	439	689	751	871	342	1184	948	373	857	222	1073	405	699	626	1209	95	1570	1299	849	479	364	893	638	1017	665	724
"f__Prevotellaceae"	1954	339	1129	2	1	532	6	664	2	636	547	475	821	23	507	96	407	715	1006	604	481	2	12	451	69	102	425	1608	1062	570	245	35	1243	99	986	548	445	1304	208	132	435	340	613	513	383	228	226	360	327	508	263	167	286	980	336	953	24	26	777	537	289	725	55	245	310	2078	82
"f__Veillonellaceae"	176	653	515	1	1	527	204	627	465	415	275	1	641	45	477	331	583	497	453	498	649	1177	106	302	161	1507	436	63	248	212	279	55	479	162	384	416	429	214	429	385	680	427	730	294	1270	161	347	1221	673	454	159	397	1450	454	601	451	28	398	1093	978	1026	250	362	555	737	289	93
"f__Lachnospiraceae"	43	212	453	7	48	148	271	494	559	273	139	175	653	90	346	423	246	512	269	340	289	1261	315	168	714	589	481	48	222	222	383	390	369	564	377	348	404	76	631	694	497	461	427	327	237	369	294	426	1129	322	419	410	438	285	441	130	96	151	82	311	595	398	541	555	605	83	465
"f__Bacteroidaceae"	221	278	174	8	21	148	1391	119	653	320	185	62	188	141	351	669	29	361	118	35	202	1091	183	373	433	23	441	151	63	1473	1497	205	248	489	314	955	518	160	898	881	292	136	97	634	53	1294	413	141	189	376	1292	447	130	58	360	72	214	182	40	99	110	137	312	395	196	148	454
"f__Enterobacteriaceae"	0	184	466	3891	280	0	1	334	0	5	0	1	57	1	415	547	0	166	0	467	458	3	0	1118	497	100	1	25	5	9	30	2572	386	485	1	48	118	10	6	85	0	1065	594	0	9	183	809	1	162	0	234	270	84	70	20	16	3175	1048	1	1	26	1202	49	44	0	50	1098
"f__Succinivibrionaceae"	10	143	19	1	2432	59	85	11	81	59	430	971	28	3201	29	14	1003	23	23	852	32	157	2418	10	50	220	26	859	158	16	20	15	5	53	383	26	29	108	16	24	36	182	3	85	383	37	13	11	144	48	44	44	147	15	44	146	6	16	65	422	54	20	24	53	20	56	44
"f__Sutterellaceae"	522	160	82	0	95	242	86	51	63	40	90	112	111	5	79	28	55	148	60	60	112	131	3	161	78	44	92	605	46	166	61	20	142	90	240	182	82	183	48	47	67	117	82	61	75	56	94	76	92	117	74	172	128	87	100	96	8	114	77	107	67	78	39	36	78	105	50
"f__Tannerellaceae"	95	6	43	1	0	39	115	60	53	72	6	0	43	8	142	48	47	96	61	57	148	77	10	143	41	13	291	197	20	75	78	26	236	68	73	49	406	48	89	68	175	92	158	80	28	105	145	97	137	80	123	124	131	101	128	12	40	35	12	31	170	146	22	65	64	46	60
"f__Fusobacteriaceae"	0	581	4	0	2	23	345	19	197	56	817	39	11	0	40	84	0	18	14	0	34	597	0	28	27	1	114	0	94	37	62	5	0	21	57	4	71	115	7	2	48	7	0	112	1	27	21	16	1	17	3	37	0	0	14	21	2	28	11	0	0	2	37	57	48	22	25
"f__Clostridiaceae"	2	8	39	2	5	62	37	43	45	17	8	13	35	1	6	24	10	33	1	14	8	142	11	5	79	8	34	2	3	50	42	36	23	60	9	67	26	2	92	83	49	45	28	39	4	85	41	53	39	97	108	39	21	14	45	1	24	21	1	6	43	39	87	85	64	2	55
"f__Coriobacteriaceae"	48	10	18	0	1	55	22	11	21	26	51	2	10	0	20	11	4	4	3	4	48	83	5	88	5	72	22	14	19	187	260	7	32	13	53	53	6	5	15	9	3	4	43	4	5	59	44	13	7	17	18	36	6	3	40	7	6	15	9	11	12	6	249	85	4	33	57
"f__Bifidobacteriaceae"	753	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"f__Oscillospiraceae"	0	1	1	2	0	0	21	5	36	0	1	1	5	1	2	26	1	18	0	2	1	79	1	4	38	1	10	1	0	14	44	30	1	35	0	11	8	2	32	29	17	5	10	15	0	73	24	4	5	16	39	40	1	0	21	3	26	5	1	0	0	8	5	28	7	0	39
"f__Muribaculaceae"	14	0	9	0	0	0	10	11	15	3	1	0	11	0	6	0	7	20	7	8	7	20	0	6	6	1	26	35	0	3	5	3	10	7	5	4	42	0	7	5	39	6	4	9	2	10	2	8	19	11	14	6	5	18	20	0	0	0	0	0	3	12	3	7	9	0	12
"f__Pseudomonadaceae"	9	7	0	0	3	91	212	1	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Barnesiellaceae"	1	1	2	0	0	0	11	2	1	11	1	0	2	6	16	7	1	4	1	6	2	5	11	5	3	0	6	16	0	2	4	3	3	6	0	2	10	0	11	7	10	7	2	21	0	22	2	3	5	7	17	0	0	4	5	0	2	1	0	0	0	21	2	8	5	0	15
"f__Butyricicoccaceae"	0	17	9	0	1	0	4	14	7	0	9	9	13	1	0	17	4	27	0	7	0	33	5	0	0	0	6	2	0	3	8	0	1	0	0	1	7	0	8	13	8	0	0	4	0	0	1	5	0	3	0	0	0	0	2	0	0	1	0	0	0	1	1	2	30	0	0
"f__Streptococcaceae"	0	0	0	30	0	15	6	0	26	17	1	6	0	0	0	0	2	0	1	1	9	51	3	2	0	2	0	0	4	0	1	1	1	1	0	1	0	9	1	1	0	0	4	0	0	0	1	0	0	2	0	0	0	0	3	26	0	1	20	5	0	0	7	0	0	4	0
"f__Pasteurellaceae"	0	6	1	21	2	5	39	0	104	2	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	1	0	0	0	2	0	0
"f__Peptococcaceae"	0	0	1	0	0	0	8	3	10	0	0	0	11	0	0	5	3	5	0	3	0	12	0	0	23	1	0	0	0	2	0	4	0	4	1	3	0	0	3	17	0	3	2	3	0	3	9	0	1	7	1	5	1	2	7	0	1	4	0	0	1	2	1	3	0	0	6
"f__Anaeroplasmataceae"	0	0	1	0	0	0	26	0	11	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0	11	0	12	2	0	0	0	3	0	12	0	0	2	0	0	0	0	0	0	0	0	7	0	2	0	5	0	1	0	0	0	0	10	0	0	0	0	0	0	9	4	0	1
"f__Atopobiaceae"	3	2	1	0	0	1	1	3	2	1	0	0	0	0	1	1	1	1	1	0	1	3	0	3	0	10	1	4	0	6	6	2	5	1	2	5	0	0	0	2	1	1	4	2	0	2	1	0	0	2	1	3	1	0	4	0	1	0	2	1	2	2	1	9	1	1	4
"f__Acutalibacteraceae"	0	0	0	0	0	0	4	1	5	1	0	0	2	0	1	0	0	4	0	0	1	10	0	1	0	1	0	0	0	1	0	4	0	5	0	0	0	2	1	1	0	0	0	7	0	5	1	0	0	6	2	6	0	0	5	1	2	2	0	0	0	0	0	4	0	0	3
"f__Gemellaceae"	0	1	0	0	0	3	1	0	0	3	0	1	0	0	0	0	0	0	0	0	1	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	1	0	0	0	0	1	0	1	0
"f__Aerococcaceae"	0	1	0	0	1	2	1	0	10	1	1	1	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0	5	0	0	0	0	0	0	1	0
"f__Rikenellaceae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	3	4	0	0	0	0	2	3	0	6	7	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0
"f__Erwiniaceae"	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
